date,source,metric,value

2026-07-13,github,repo_count_vibe-coding,4861
2026-07-13,github,repo_count_github-copilot,2213
2026-07-13,github,repo_count_claude-code,46364
2026-07-13,github,repo_count_codex,15374
2026-07-13,github,repo_count_cursor-ide,371
2026-07-13,hackernews,weekly_stories_vibe_coding,17
2026-07-13,hackernews,weekly_comments_vibe_coding,145
2026-07-13,hackernews,weekly_stories_github_copilot,6
2026-07-13,hackernews,weekly_comments_github_copilot,24
2026-07-13,hackernews,weekly_stories_claude_code,126
2026-07-13,hackernews,weekly_comments_claude_code,817
2026-07-13,hackernews,weekly_stories_chatgpt_codex,13
2026-07-13,hackernews,weekly_comments_chatgpt_codex,125
2026-07-13,hackernews,weekly_stories_cursor_ai,10
2026-07-13,hackernews,weekly_comments_cursor_ai,33
2026-07-20,github,repo_count_vibe-coding,5027
2026-07-20,github,repo_count_github-copilot,2315
2026-07-20,github,repo_count_claude-code,49195
2026-07-20,github,repo_count_codex,17560
2026-07-20,github,repo_count_cursor-ide,380
2026-07-20,hackernews,weekly_stories_vibe_coding,16
2026-07-20,hackernews,weekly_comments_vibe_coding,148
2026-07-20,hackernews,weekly_stories_github_copilot,10
2026-07-20,hackernews,weekly_comments_github_copilot,11
2026-07-20,hackernews,weekly_stories_claude_code,139
2026-07-20,hackernews,weekly_comments_claude_code,705
2026-07-20,hackernews,weekly_stories_chatgpt_codex,12
2026-07-20,hackernews,weekly_comments_chatgpt_codex,55
2026-07-20,hackernews,weekly_stories_cursor_ai,15
2026-07-20,hackernews,weekly_comments_cursor_ai,20
